date,custom_fsi
2017-10-01,-0.5520478368586761
2017-11-01,-0.5603181047698841
2017-12-01,-0.5138523014359789
2018-01-01,-0.5193374763349341
2018-02-01,-0.2021849963313028
2018-03-01,-0.09231534452169987
2018-04-01,-0.006006322807754125
2018-05-01,-0.2066271544661132
2018-06-01,-0.1875317473750619
2018-07-01,-0.21638812854035336
2018-08-01,-0.3028337193192716
2018-09-01,-0.33016055858865445
2018-10-01,-0.12114998631384818
2018-11-01,0.05277515187100446
2018-12-01,0.43356304310426197
2019-01-01,0.26962839676677963
2019-02-01,-0.019277242738247158
2019-03-01,-0.10746430170619298
2019-04-01,-0.2057963692587634
2019-05-01,-0.06683962148866221
2019-06-01,-0.020862646418684076
2019-07-01,-0.19179444068085374
2019-08-01,0.09276655496015818
2019-09-01,-0.029747992118554306
2019-10-01,0.007543680376998553
2019-11-01,-0.12580097150543162
2019-12-01,-0.13949848042726848
2020-01-01,-0.18459292946166203
2020-02-01,-0.019727494601199578
2020-03-01,2.2299125815424334
2020-04-01,1.7807501193565936
2020-05-01,0.8063269913622009
2020-06-01,0.5443694619368592
2020-07-01,0.3197311947597763
2020-08-01,0.1546343440508448
2020-09-01,0.3104511633853543
2020-10-01,0.3154947165940664
2020-11-01,0.05161510828849805
2020-12-01,-0.13823700880822715
2021-01-01,-0.1425649010821181
2021-02-01,-0.2598715043275161
2021-03-01,-0.42023727176631526
2021-04-01,-0.6351388440151602
2021-05-01,-0.5618624479369487
2021-06-01,-0.6651273186309357
2021-07-01,-0.5789568815389717
2021-08-01,-0.5630728232396474
2021-09-01,-0.5396456319769334
2021-10-01,-0.6676406542545748
2021-11-01,-0.5912343462784552
2021-12-01,-0.32052811422738275
2022-01-01,-0.2848148237432136
2022-02-01,0.40262327959390254
2022-03-01,0.6677345028233207
2022-04-01,0.396930582741526
2022-05-01,0.7738897835329828
2022-06-01,0.7273073685629211
2022-07-01,0.8240884405510364
2022-08-01,0.7512455794909622
2022-09-01,0.9335146436266966
2022-10-01,1.1384438052337382
2022-11-01,0.8621283206267425
2022-12-01,0.6960628290733242
2023-01-01,0.6142189409124412
2023-02-01,0.5854361393600932
2023-03-01,0.7094871611803512
2023-04-01,0.49759790819713595
2023-05-01,0.5628449512867775
2023-06-01,0.42777889011528025
2023-07-01,0.3386619060102217
2023-08-01,0.3427590597681857
2023-09-01,0.22194770426388896
2023-10-01,0.2604676144411162
2023-11-01,0.049908193180994265
2023-12-01,-0.0887732660802653
2024-01-01,-0.1368721168219118
2024-02-01,-0.11134642547959776
2024-03-01,-0.1082744073256447
2024-04-01,-0.06457690210143635
2024-05-01,-0.19229342305295533
2024-06-01,-0.15503327927223323
2024-07-01,-0.11000761873081398
2024-08-01,0.1523103634540583
2024-09-01,-0.04399795312214204
2024-10-01,-0.03675674576176993
2024-11-01,-0.2926054702547959
2024-12-01,-0.3369782909992749
2025-01-01,-0.3559554277134908
2025-02-01,-0.2749138906320626
2025-03-01,0.049406179926788606
2025-04-01,0.623748703724276
2025-05-01,0.01727488926728951
2025-06-01,-0.14289241729607788
2025-07-01,-0.28733468309775967
2025-08-01,-0.3268935077778192
2025-09-01,-0.33091973878383785
2025-10-01,-0.2321609228279752
2025-11-01,-0.09042338488716851
2025-12-01,-0.3582085776120785
2026-01-01,-0.3969586126640896
2026-02-01,-0.2153306953040638
2026-03-01,0.20594217604590728
