date,Inflation,Labour,Financial,Monetary,Real,ESI,ESI_expanding,ESI_ML,RECESSION
2006-06-01,,36.25,43.07692307692308,74.16666666666667,69.16666666666667,65.06368358375693,66.67956920151315,,0.0
2006-07-01,,42.916666666666664,26.53061224489796,82.5,69.58333333333333,68.04773268080858,68.51931032834742,,0.0
2006-08-01,,41.25,27.411167512690355,86.66666666666667,59.583333333333336,66.5324682577031,63.54869229860118,,0.0
2006-09-01,,36.666666666666664,26.767676767676768,96.66666666666667,53.75,68.90456879936714,70.02439418039934,,0.0
2006-10-01,,33.75,23.618090452261306,97.91666666666666,63.33333333333333,71.35580512515887,73.47886900423353,,0.0
2006-11-01,,41.25,14.000000000000002,96.66666666666667,74.16666666666667,74.69655657917033,76.4398954944029,,0.0
2006-12-01,,43.333333333333336,20.398009950248756,90.41666666666667,65.41666666666667,69.8806339882505,70.50415583120407,,0.0
2007-01-01,,51.66666666666667,14.356435643564355,93.33333333333333,82.08333333333333,78.04007681231627,79.55132952204974,,0.0
2007-02-01,,47.083333333333336,17.24137931034483,87.08333333333333,73.33333333333333,71.59156182739972,73.18364221779318,,0.0
2007-03-01,,43.75,60.78431372549019,73.75,72.5,69.6537767600079,74.96549119176431,,0.0
2007-04-01,,46.666666666666664,37.073170731707314,72.08333333333333,78.75,68.61669106538598,71.71688665530982,,0.0
2007-05-01,,40.416666666666664,34.46601941747573,71.25,68.75,63.21144003683661,66.40124895033397,,0.0
2007-06-01,,46.25,33.81642512077295,68.33333333333333,77.91666666666667,66.65499923886827,69.77776753291691,,0.0
2007-07-01,,44.583333333333336,44.230769230769226,70.41666666666667,74.58333333333333,66.60805645702021,71.20544127739747,,0.0
2007-08-01,,50.83333333333333,95.21531100478468,60.416666666666664,80.41666666666667,81.6857667767172,84.3973330943856,,0.0
2007-09-01,,55.00000000000001,84.28571428571429,46.25,68.75,71.88507453356056,77.39679806507284,,0.0
2007-10-01,30.0,60.83333333333333,71.56398104265402,39.166666666666664,60.83333333333333,61.090320595954225,66.0226137237759,13.73873873873874,0.0
2007-11-01,100.0,62.916666666666664,94.33962264150944,31.666666666666664,50.416666666666664,82.38690671810689,79.69957899074967,13.73873873873874,0.0
2007-12-01,66.66666666666666,70.0,89.67136150234741,30.833333333333336,68.75,75.84291810406712,77.7463473377963,13.73873873873874,0.0
2008-01-01,61.53846153846154,69.16666666666667,96.26168224299066,22.083333333333332,63.33333333333333,75.75124546690037,74.597587613504,13.73873873873874,1.0
2008-02-01,35.714285714285715,70.83333333333334,91.62790697674419,5.0,83.33333333333334,75.3996374198685,76.54526734935426,13.73873873873874,1.0
2008-03-01,66.66666666666666,73.75,94.9074074074074,4.583333333333333,88.75,83.73383216294248,84.93332714461144,13.73873873873874,1.0
2008-04-01,56.25,75.0,87.09677419354838,12.916666666666668,90.0,80.06350560432405,83.34773257111027,13.73873873873874,1.0
2008-05-01,94.11764705882352,82.08333333333333,53.669724770642205,30.0,91.66666666666666,84.14428549414139,85.12334048126714,13.73873873873874,1.0
2008-06-01,100.0,84.58333333333333,72.6027397260274,30.833333333333336,87.08333333333333,88.29478618228892,91.09127563537483,13.73873873873874,1.0
