date,inflation_yoy,unemployment_change,ip_employment_proxy,cli_stress,cli_momentum,real_rate,yield_spread,rate_change,indpro_growth,country,RECESSION
2018-01-01,-0.5827094274965527,-0.5,0.13374867659455836,-1.3760999999999939,0.0239000000000118,0.25425492749655276,-1.1784545,-0.002908999999999995,0.13374867659455836,FRA,0
2018-01-01,,-0.15904099999999932,-1.4772754376161101,0.3805600000000027,0.38286000000000797,,-0.9569999999999999,0.010000000000000009,-1.4772754376161101,AUS,0
2018-01-01,249.99999999999994,-0.6000000000000001,-0.7549417961839833,-0.4398000000000053,0.005799999999993588,-249.93199999999993,-0.011999999999999997,0.012000000000000004,-0.7549417961839833,JPN,0
2018-01-01,42.105263157894754,-0.39999999999999947,-4.221072504697809,-0.41859999999999786,0.46359999999999957,-41.58276315789475,-0.8706,0.1604,-4.221072504697809,GBR,0
2018-02-01,8.69565217391306,-0.39999999999999947,-5.060765272959289,-0.2896999999999963,0.4333000000000027,-8.14882217391306,-1.0565699999999998,0.19009000000000004,-5.060765272959289,GBR,0
2018-02-01,-43.19220191973008,-0.30000000000000027,-2.5130074123756563,-1.406000000000006,0.09309999999999263,42.86370191973008,-0.9875,9.999999999998899e-05,-2.5130074123756563,DEU,0
2018-02-01,,-0.3121810000000007,2.25056594125278,0.465280000000007,0.35081000000000984,,-1.0750000000000002,-0.010000000000000009,2.25056594125278,AUS,0
2018-02-01,,-0.5999999999999996,-3.017828326995553,-0.6259000000000015,0.2604999999999933,,-1.161711,0.6975,-3.017828326995553,CAN,0
2018-02-01,-2.017061586267288,-0.29999999999999893,-1.4796463017159311,-1.2848000000000042,0.14390000000000214,1.688561586267288,-1.3085,9.999999999998899e-05,-1.4796463017159311,FRA,0
2018-02-01,400.0,-0.3999999999999999,-1.6889736203508754,-0.43540000000000134,0.018000000000000682,-399.932,0.023000000000000007,0.012000000000000004,-1.6889736203508754,JPN,0
2018-02-01,-19.217351033142215,-0.5,-3.4067566452197218,-0.828000000000003,-0.3906000000000063,20.997351033142216,-1.0799999999999998,0.91,-3.4067566452197218,USA,0
2018-03-01,,-0.3145030000000002,-4.5343786759515,0.48256000000000654,0.228580000000008,,-0.7830000000000001,0.1399999999999999,-4.5343786759515,AUS,0
2018-03-01,0.0,-0.2999999999999998,2.5836464221859035,-0.18120000000000402,0.383899999999997,0.62842,-0.87958,0.28275,2.5836464221859035,GBR,0
2018-03-01,-0.8779675142358445,-0.40000000000000036,-0.28735519571112533,-0.9050000000000011,-0.332499999999996,2.9579675142358446,-0.7599999999999998,1.1,-0.28735519571112533,USA,0
2018-03-01,,-0.9000000000000004,-3.5321448798615984,-0.4877999999999929,0.369000000000014,,-1.093571,0.597,-3.5321448798615984,CAN,0
2018-03-01,35.829600702749254,-0.29999999999999893,0.26120834017104855,-1.1722000000000037,0.25269999999999015,-36.15750550274925,-1.1579047999999998,0.0014430000000000276,0.26120834017104855,FRA,0
2018-03-01,450.0,-0.2999999999999998,0.42798209475999327,-0.42369999999999663,0.028100000000009118,-449.903,0.052000000000000005,0.041,0.42798209475999327,JPN,0
2018-03-01,5.6635714285714345,-0.30000000000000027,-2.331150665275006,-1.3097999999999956,0.19700000000000273,-5.991476228571434,-0.8574286,0.0014430000000000276,-2.331150665275006,DEU,0
2018-04-01,-15.384615384615385,-0.20000000000000018,-7.362654359694676,-0.091700000000003,0.32689999999999486,16.140905384615387,-0.7545099999999999,0.42116000000000003,-7.362654359694676,GBR,0
2018-04-01,11.958685087444131,-0.40000000000000036,0.3420021930208961,-0.9305999999999983,-0.22419999999999618,-9.758685087444132,-0.6699999999999999,1.1700000000000002,0.3420021930208961,USA,0
2018-04-01,,-0.06331799999999976,13.289077820759655,0.45010000000000616,0.06954000000000349,,-0.6739999999999999,0.29000000000000004,13.289077820759655,AUS,0
2018-04-01,,-0.7000000000000002,-2.9408069657612224,-0.361699999999999,0.39860000000000184,,-1.0840480000000001,0.63,-2.9408069657612224,CAN,0
2018-04-01,-24.806424299094033,-0.3999999999999999,-2.24584129381864,-1.2009000000000043,0.2723000000000013,24.477974299094033,-0.80845,0.0019388999999999657,-2.24584129381864,DEU,0
2018-04-01,40.24096880271833,-0.3000000000000007,-2.4710694744018546,-1.0452999999999975,0.33079999999999643,-40.569418802718324,-1.10845,0.0019388999999999657,-2.4710694744018546,FRA,0
2018-04-01,49.99999999999998,-0.2999999999999998,-0.43285613417516355,-0.421599999999998,0.01820000000000732,-49.90299999999998,0.047,0.041,-0.43285613417516355,JPN,0
2018-05-01,151.0629116390298,-0.40000000000000036,2.8246892575981453,-0.8907999999999987,0.39400000000000546,-151.3881389390298,-1.1152273,0.0042271999999999865,2.8246892575981453,FRA,0
2018-05-01,49.39702743325165,-0.6000000000000005,-2.6715318050826387,-0.9137999999999948,-0.08579999999999188,-47.237027433251654,-0.8199999999999998,1.11,-2.6715318050826387,USA,0
2018-05-01,72.9370923080405,-0.3999999999999999,0.1255847334597382,-1.095799999999997,0.3102000000000089,-73.2623196080405,-0.7752273000000001,0.0042271999999999865,0.1255847334597382,DEU,0
2018-05-01,-14.814814814814826,-0.40000000000000036,-3.8518693465343423,-0.00010000000000331966,0.289599999999993,15.458364814814825,-0.8580500000000001,0.33274,-3.8518693465343423,GBR,0
2018-05-01,,-0.11179499999999987,8.266121555874129,0.38948000000000604,-0.07580000000000098,,-0.8300000000000001,0.22999999999999998,8.266121555874129,AUS,0
2018-05-01,,-0.6999999999999993,-1.742697516362135,-0.2557000000000045,0.370199999999997,,-1.129455,0.734,-1.742697516362135,CAN,0
2018-05-01,74.99999999999997,-0.7999999999999998,-1.1133358929522164,-0.4223999999999961,0.01300000000000523,-74.92199999999997,0.048,0.022,-1.1133358929522164,JPN,0
2018-06-01,-11.538461538461553,-0.2999999999999998,-3.8399358791845417,0.1418299999999988,0.3230300000000028,12.177141538461553,-0.78422,0.34426,-3.8399358791845417,GBR,0
2018-06-01,33.8534009270155,-0.2999999999999998,-4.199374301739378,-0.9997000000000043,0.3100999999999914,-34.1754485270155,-0.6491905,0.007952400000000026,-4.199374301739378,DEU,0
2018-06-01,,-0.28033399999999986,7.16834117579026,0.33581999999999823,-0.1467400000000083,,-0.6270000000000002,0.34999999999999987,7.16834117579026,AUS,0
2018-06-01,,-0.5,-1.2247454007884517,-0.14690000000000225,0.34089999999999065,,-0.9715480000000001,0.6725000000000001,-1.2247454007884517,CAN,0
2018-06-01,75.7924147590922,-0.2999999999999998,-0.912827905979996,-0.8659999999999997,0.03900000000000148,-73.6024147590922,-0.7200000000000002,1.03,-0.912827905979996,USA,0
2018-06-01,195.0782303470335,-0.5,-3.619863420595548,-0.695999999999998,0.47620000000000573,-195.4002779470335,-1.0720475999999999,0.007952400000000026,-3.619863420595548,FRA,0
2018-06-01,74.99999999999997,-0.3999999999999999,2.193327802357292,-0.4131,0.010599999999996612,-74.92199999999997,0.048,0.022,2.193327802357292,JPN,0
2018-07-01,33.860617807459434,-0.2999999999999998,-2.4364079364188607,-0.9177999999999997,0.28310000000000457,-34.181345107459435,-0.5952728,0.009701300000000024,-2.4364079364188607,DEU,0
2018-07-01,218.5454839116157,-0.5999999999999996,-1.6116946609225913,-0.45120000000000005,0.5940999999999974,-218.86621121161568,-0.9907273000000001,0.009701300000000024,-1.6116946609225913,FRA,0
2018-07-01,,-0.39999999999999947,-1.5018577332452265,-0.007199999999997431,0.3545000000000016,,-0.8121429999999998,0.645,-1.5018577332452265,CAN,0
2018-07-01,125.0,-0.2999999999999998,-1.4042215255211765,-0.4000000000000057,0.021599999999992292,-124.909,0.031,0.016,-1.4042215255211765,JPN,0
