date,ESI,RECESSION,stress_level,Inflation,Labour,Financial,Monetary,Real,ESI_expanding,ESI_ML
1986-07-01,41.99330740184573,0.0,Moderate,,40.77669902912621,,43.47826086956522,36.231884057971016,42.064989289472685,
1986-08-01,45.846334646603935,0.0,Moderate,,48.07692307692308,,33.093525179856115,44.60431654676259,42.89574933318303,
1986-09-01,51.28692114962415,0.0,Moderate,,51.42857142857142,,17.142857142857142,54.285714285714285,47.02014565275275,
1986-10-01,52.09049659279268,0.0,Moderate,,52.83018867924528,,17.02127659574468,54.60992907801418,48.50519857383631,
1986-11-01,52.26636466463165,0.0,Moderate,,50.467289719626166,,32.3943661971831,55.633802816901415,47.29790847807274,
1986-12-01,59.53083795294515,0.0,Moderate,,39.81481481481482,,51.048951048951054,67.13286713286713,56.02153596828565,
1987-01-01,62.639746251758666,0.0,High,,34.86238532110092,,47.22222222222222,75.0,59.29479806338744,
1987-02-01,46.33695884310277,0.0,Moderate,,30.0,,35.172413793103445,54.48275862068965,43.59497644123629,
1987-03-01,26.19476982753467,0.0,Low,,26.126126126126124,,21.232876712328768,26.71232876712329,30.934499910973543,
1987-04-01,21.53321374866254,0.0,Low,,24.107142857142858,,15.64625850340136,18.367346938775512,22.5377469000489,
1987-05-01,22.496108649401695,0.0,Low,,19.469026548672566,,26.351351351351347,6.756756756756757,28.232930085011084,
1987-06-01,17.433252709662355,0.0,Low,,13.157894736842104,,22.14765100671141,1.342281879194631,25.86346607451363,
1987-07-01,15.722924560669265,0.0,Low,,13.043478260869565,,19.33333333333333,0.0,23.44990774830064,
1987-08-01,14.894542765984712,0.0,Low,,13.79310344827586,,17.218543046357617,0.0,20.547449003471687,
1987-09-01,16.967546675301215,0.0,Low,,12.82051282051282,,21.71052631578948,0.0,24.58277967320995,
1987-10-01,17.017833895893038,0.0,Low,,11.016949152542372,,22.875816993464053,0.0,25.219013195885672,
1987-11-01,11.098534659175968,0.0,Low,,10.084033613445378,,12.987012987012983,0.0,15.598026622674976,
