date,Inflation,Labour,Financial,Monetary,Real
1997-03-01,,48.05194805194805,38.095238095238095,66.25,54.58333333333333
1997-04-01,,44.827586206896555,42.35294117647059,82.08333333333333,91.66666666666666
1997-05-01,,43.776824034334766,62.7906976744186,83.75,94.58333333333333
1997-06-01,,47.008547008547005,77.01149425287356,83.75,86.25
1997-07-01,,44.25531914893617,73.86363636363636,85.41666666666666,77.5
1997-08-01,,47.45762711864407,92.13483146067416,82.91666666666667,79.58333333333333
1997-09-01,,45.14767932489451,77.77777777777779,82.91666666666667,83.33333333333334
1997-10-01,,40.7563025210084,76.92307692307693,85.83333333333333,87.5
1997-11-01,,34.30962343096235,100.0,90.0,88.33333333333333
1997-12-01,,33.75,77.41935483870968,90.83333333333333,83.75
1998-01-01,,35.833333333333336,78.72340425531915,88.75,89.16666666666667
1998-02-01,,37.5,73.68421052631578,87.91666666666667,97.5
1998-03-01,,39.58333333333333,77.08333333333334,87.08333333333333,98.75
1998-04-01,,32.5,89.69072164948454,88.75,83.75
1998-05-01,,33.33333333333333,45.91836734693878,85.41666666666666,81.66666666666667
1998-06-01,,38.75,68.68686868686868,88.33333333333333,89.16666666666667
1998-07-01,,44.583333333333336,60.0,84.58333333333333,98.75
1998-08-01,,42.083333333333336,100.0,83.33333333333334,98.33333333333333
1998-09-01,,35.833333333333336,100.0,78.33333333333333,99.16666666666667
1998-10-01,,31.25,98.05825242718447,49.166666666666664,96.25
1998-11-01,,30.833333333333336,94.23076923076923,58.75,95.83333333333334
1998-12-01,,31.25,89.52380952380953,64.58333333333334,93.33333333333333
1999-01-01,,35.833333333333336,88.67924528301887,80.0,95.0
1999-02-01,,27.083333333333332,74.76635514018692,75.0,83.33333333333334
1999-03-01,,19.583333333333332,38.88888888888889,66.66666666666666,76.66666666666667
1999-04-01,,20.0,37.61467889908257,52.5,85.0
1999-05-01,,19.583333333333332,71.81818181818181,51.24999999999999,79.58333333333333
1999-06-01,,18.333333333333332,28.82882882882883,59.583333333333336,81.25
1999-07-01,,14.583333333333334,37.5,66.66666666666666,59.166666666666664
1999-08-01,,9.166666666666666,87.61061946902655,70.0,45.416666666666664
1999-09-01,,7.083333333333333,83.33333333333334,68.75,54.58333333333333
1999-10-01,,5.416666666666667,80.8695652173913,70.83333333333334,68.33333333333333
1999-11-01,,5.416666666666667,52.58620689655172,85.0,49.583333333333336
1999-12-01,,4.583333333333333,20.51282051282051,82.5,40.0
2000-01-01,,5.0,12.711864406779661,81.25,50.83333333333333
2000-02-01,,10.416666666666668,21.008403361344538,91.66666666666666,46.666666666666664
2000-03-01,,10.0,83.33333333333334,92.5,44.583333333333336
2000-04-01,,5.0,96.69421487603306,96.66666666666667,77.5
2000-05-01,,6.666666666666667,93.44262295081968,95.83333333333334,72.08333333333333
2000-06-01,,13.750000000000002,87.8048780487805,92.91666666666667,68.33333333333333
2000-07-01,,24.583333333333332,50.806451612903224,87.5,87.91666666666667
2000-08-01,,38.75,56.00000000000001,92.5,92.5
2000-09-01,,40.416666666666664,85.71428571428571,86.25,87.08333333333333
2000-10-01,,47.5,95.2755905511811,84.58333333333333,91.25
2000-11-01,,53.333333333333336,85.15625,74.16666666666667,99.16666666666667
2000-12-01,,70.83333333333334,87.59689922480621,74.58333333333333,100.0
2001-01-01,,80.41666666666667,79.23076923076923,25.833333333333336,99.16666666666667
2001-02-01,,84.16666666666667,72.51908396946564,17.083333333333332,100.0
2001-03-01,,93.33333333333333,93.18181818181817,17.5,100.0
2001-04-01,,98.75,74.43609022556392,14.166666666666666,99.58333333333333
2001-05-01,,99.58333333333333,28.35820895522388,3.75,99.58333333333333
2001-06-01,,100.0,13.333333333333334,2.9166666666666665,99.58333333333333
2001-07-01,,100.0,29.411764705882355,10.416666666666668,99.16666666666667
2001-08-01,,100.0,55.47445255474452,14.166666666666666,98.75
2001-09-01,,100.0,100.0,2.5,100.0
2001-10-01,,100.0,88.48920863309353,0.0,96.66666666666667
2001-11-01,,100.0,62.857142857142854,0.0,98.33333333333333
2001-12-01,,99.58333333333333,9.219858156028367,1.25,98.33333333333333
2002-01-01,,98.75,2.112676056338028,4.583333333333333,97.91666666666666
2002-02-01,,98.33333333333333,16.083916083916083,8.75,96.25
2002-03-01,,97.5,11.805555555555555,15.0,94.16666666666667
2002-04-01,,97.91666666666666,25.517241379310345,13.333333333333334,93.75
2002-05-01,,97.08333333333333,14.383561643835616,14.583333333333334,93.75
2002-06-01,,96.25,85.71428571428571,10.0,91.66666666666666
2002-07-01,,95.0,95.27027027027027,7.083333333333333,88.33333333333333
2002-08-01,,93.33333333333333,72.48322147651007,7.083333333333333,89.16666666666667
2002-09-01,,93.75,91.33333333333333,19.583333333333332,81.25
2002-10-01,,92.5,86.09271523178808,13.333333333333334,93.33333333333333
2002-11-01,,91.66666666666666,56.57894736842105,8.333333333333332,89.16666666666667
2002-12-01,,91.66666666666666,19.607843137254903,1.6666666666666667,82.08333333333333
2003-01-01,,91.25,2.5974025974025974,1.6666666666666667,81.25
2003-02-01,,91.25,31.61290322580645,2.083333333333333,86.25
2003-03-01,,91.25,8.974358974358974,5.416666666666667,83.75
2003-04-01,,91.66666666666666,1.2738853503184715,10.833333333333334,90.83333333333333
2003-05-01,,92.5,1.2658227848101267,19.166666666666668,90.0
2003-06-01,,92.5,3.1446540880503147,19.166666666666668,88.33333333333333
2003-07-01,,89.58333333333334,0.0,6.666666666666667,87.91666666666667
2003-08-01,,88.33333333333333,0.0,2.083333333333333,86.66666666666667
2003-09-01,,86.66666666666667,0.0,1.6666666666666667,80.0
2003-10-01,,85.0,0.6134969325153374,12.083333333333334,78.33333333333333
2003-11-01,,77.91666666666667,0.6097560975609756,25.0,70.83333333333334
2003-12-01,,72.91666666666666,1.2121212121212122,24.583333333333332,69.58333333333333
2004-01-01,,72.5,3.0120481927710845,23.333333333333332,71.66666666666667
2004-02-01,,70.83333333333334,0.5988023952095809,25.0,56.25
2004-03-01,,68.75,14.880952380952381,27.916666666666668,51.24999999999999
2004-04-01,,65.41666666666667,3.5502958579881656,22.916666666666664,55.41666666666667
2004-05-01,,56.25,12.941176470588237,20.416666666666668,41.25
